Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
440,Alex Erickson (WAS),1,5,6,6,6,0,0,0,0,0,1,1,-0.4,-0.4,0.0%,2019,15
59,Alexander Hollins (FA),2,3,46,23,35,1,0,0,0,0,0,1,6.6,6.6,0.0%,2019,17
238,Alexander Hollins (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,13
239,Alexander Hollins (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
246,Alexander Hollins (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,15
210,Alexander Hollins (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,16
23,Allen Hurns (FA),4,7,42,10.5,19,0,1,0,0,0,0,1,14.2,14.2,0.0%,2019,12
39,Allen Hurns (FA),5,8,68,13.6,17,0,0,0,0,0,0,1,11.8,11.8,0.0%,2019,14
48,Allen Hurns (FA),3,3,53,17.7,27,1,0,0,0,0,0,1,8.3,8.3,0.0%,2019,7
55,Allen Hurns (FA),1,1,12,12,12,0,1,0,0,0,0,1,8.2,8.2,0.0%,2019,8
52,Allen Hurns (FA),4,6,53,13.3,20,1,0,0,0,0,1,1,7.3,7.3,0.0%,2019,11
66,Allen Hurns (FA),3,4,33,11,14,0,0,0,0,0,0,1,6.3,6.3,0.0%,2019,13
58,Allen Hurns (FA),2,2,41,20.5,27,1,0,0,0,0,0,1,6.1,6.1,0.0%,2019,16
58,Allen Hurns (FA),2,4,32,16,18,0,0,0,0,0,0,1,5.2,5.2,0.0%,2019,10
76,Allen Hurns (FA),2,2,16,8,11,0,0,0,0,0,0,1,3.6,3.6,0.0%,2019,6
74,Allen Hurns (FA),2,3,16,8,8,0,0,0,0,0,0,1,3.6,3.6,0.0%,2019,9
93,Allen Hurns (FA),1,2,22,22,22,1,0,0,0,0,0,1,3.2,3.2,0.0%,2019,1
94,Allen Hurns (FA),1,2,13,13,13,0,0,0,0,0,0,1,2.3,2.3,0.0%,2019,2
100,Allen Hurns (FA),1,1,9,9,9,0,0,0,0,0,0,1,1.9,1.9,0.0%,2019,15
110,Allen Hurns (FA),1,2,6,6,6,0,0,0,0,0,0,1,1.6,1.6,0.0%,2019,3
12,Allen Lazard (GB),3,3,103,34.3,43,3,1,0,0,0,0,1,19.3,19.3,81.5%,2019,13
19,Allen Lazard (GB),4,8,69,17.3,28,1,1,0,0,0,0,1,16.9,16.9,81.5%,2019,17
17,Allen Lazard (GB),4,5,65,16.3,35,1,1,0,0,0,0,1,16.5,16.5,81.5%,2019,6
