Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
20,Jason Myers (SEA),1,2,50,42,0,0,0,1,0,3,3,1,7,7,3.6%,2019,5
21,Jason Myers (SEA),2,2,100,39,0,0,2,0,0,0,1,1,6,6,3.6%,2019,14
20,Jason Myers (SEA),1,1,100,30,0,0,1,0,0,3,4,1,6,6,3.6%,2019,15
22,Jason Myers (SEA),1,1,100,24,0,1,0,0,0,2,2,1,5,5,3.6%,2019,12
25,Jason Myers (SEA),0,1,0,0,0,0,0,0,0,4,4,1,4,4,3.6%,2019,2
28,Jason Myers (SEA),0,0,0,0,0,0,0,0,0,3,3,1,3,3,3.6%,2019,1
28,Jason Myers (SEA),0,0,0,0,0,0,0,0,0,3,3,1,3,3,3.6%,2019,3
30,Jason Myers (SEA),0,0,0,0,0,0,0,0,0,3,3,1,3,3,3.6%,2019,17
1,Jason Sanders (MIA),7,8,87.5,53,0,3,2,1,1,0,0,1,24,24,9.0%,2019,14
3,Jason Sanders (MIA),1,1,100,51,0,0,0,0,1,2,3,1,14.1,14.1,9.0%,2019,13
4,Jason Sanders (MIA),3,3,100,48,0,0,0,3,0,1,1,1,13,13,9.0%,2019,10
9,Jason Sanders (MIA),2,3,66.7,47,0,1,0,1,0,2,2,1,9,9,9.0%,2019,15
16,Jason Sanders (MIA),2,2,100,32,0,1,1,0,0,3,3,1,9,9,9.0%,2019,17
17,Jason Sanders (MIA),1,2,50,37,0,0,1,0,0,5,5,1,8,8,9.0%,2019,16
16,Jason Sanders (MIA),1,1,100,54,0,0,0,0,1,1,1,1,6,6,9.0%,2019,1
19,Jason Sanders (MIA),2,3,66.7,33,0,1,1,0,0,0,0,1,6,6,9.0%,2019,3
18,Jason Sanders (MIA),1,2,50,26,0,1,0,0,0,3,3,1,6,6,9.0%,2019,9
18,Jason Sanders (MIA),1,1,100,36,0,0,1,0,0,3,3,1,6,6,9.0%,2019,12
24,Jason Sanders (MIA),1,3,33.3,30,0,0,1,0,0,1,1,1,4,4,9.0%,2019,4
24,Jason Sanders (MIA),1,1,100,39,0,0,1,0,0,1,1,1,4,4,9.0%,2019,6
24,Jason Sanders (MIA),0,0,0,0,0,0,0,0,0,3,3,1,3,3,9.0%,2019,7
28,Jason Sanders (MIA),0,0,0,0,0,0,0,0,0,2,2,1,2,2,9.0%,2019,8
24,Jason Sanders (MIA),0,0,0,0,0,0,0,0,0,2,2,1,2,2,9.0%,2019,11
